Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Staff Page Pic URL
DG CIPHER,@cipher-zero1,he/him,,,
Diosama,@jdiosama,he/him,,,
Dipsky,@Dipiar_,he/him,,,
Division,,he/him,Esports is a blight and Strive is a disease  ,,https://dl.airtable.com/.attachments/9c6aba9dc977d21709e8bec989beef67/0620dc04/DRIuxob1RNiCFXxY827W
DJCream,@DarylBunao,he/him,,https://twitter.com/DarylBunao,https://dl.airtable.com/.attachments/027feac13ca5ddeaa4722838b5ba1b21/9dd2eaa6/staff_djcream.jpg
Djibuti,@djibuti_fgc,he/him,"Brazillian Garou MOTW TO and streamer, anime fighting games player, PlatWoobi enjoyer.",https://twitter.com/@djibuti_fgc,
Doctor Butler,@ButlersRevenge,he/him,,,
Don_Bozzi,@Don_Bozzi83,he/him,"Your favourite Italian Cowboy, bringing you the European Garou MotW action!",https://twitter.com/@Don_Bozzi83,https://dl.airtable.com/.attachments/c12b1fa5e9a765e51acf3e472d24b5fe/2dd07af4/QmBI1LGhSBqew8PoKwCt
doot,@doot_eternal,he/him,"SEA MBAACC player, always glad to have people on board",https://twitter.com/@doot_eternal,https://dl.airtable.com/.attachments/ade5da1fe579e02650f7b33fec986525/79fd4b8f/fPzTCh8QFanjsWfIMAav
DrDewberry,@DrDewberry,he/him,,,
drilltail,@drilltail,,"I love playing and developing weird games. I want to play the most jank, most broken games there are. Always remember, bootlegs are cute!",https://twitter.com/drilltail,https://dl.airtable.com/.attachments/bf460a34c009b7e31b15e089f25857ab/f31afd2d/drilltail.png
DTN ghost the trinity,@Ghost_Emperor,he/him,Lets play samsho ,https://twitter.com/Ghost_Emperor,
Durdge-o,@DurdgeO,"he/him,any",Very dedicated Kyanta 2 player.,https://twitter.com/DurdgeO,https://dl.airtable.com/.attachments/22f79ec450b14a3751fb04920ef393d5/bf119c53/staff_durdge-o.png
EC|SOUL,@Soulshoryuken,he/him,,,
Edge La Edge,@travislazuli,he/him,,,
effects(fx) [ brewed,@bruwud_,he/him,,,
EFZ Stella,@StellaEfz,"she/her,they/them,any","BR doujin and kusoge enthusiast I also help run locals whenever I can
Sale EFZ",https://twitter.com/@StellaEfz,https://dl.airtable.com/.attachments/46cb6227990948c8222fa4ca81e9477a/db9bf2f7/7uXLH1o4TM6AxovNXoGu
EinAston,@EinAstonShigure,he/him,,,
eirinloren,@eirinloren,she/her,,,
Elos/Alecahzam,@Alecahzam,he/him,Hisoutensoku TO and commentator happy to help with wherever I can. I enjoy making games and writing music.,https://twitter.com/Beelos_v,https://dl.airtable.com/.attachments/8c1fc986937710d1dd922d6038c86523/d80c7f1f/DMHhaZ1QnO9tGW2Bo4mz
Emix24,@emiiix24,he/him,,,
Eremes,@EremesGuile3,he/him,"Poverty Fighting game enthusiast, Brazilian Yukari from Gensou Arena server.",https://twitter.com/@EremesGuile3,https://dl.airtable.com/.attachments/19f0586d92572ddcb06ace9ac5aef3b0/7865ea3e/CiAvywaQ7yORvTN7VNmp
Erli,@oooooboe,he/him,"Player of bad games, most notably MBAACC, Touhou 12.3 and Jojo HFTF. Will commentate seldomly.",https://twitter.com/@oooooboe,
Estrella,@maxsagara02,he/him,"CASTER Eufórico 🎙 💥
#StarGuardian ⭐ #GuiltyGearArgentina 🇦🇷
💙J ☯JH ❤️🤍U - 🧂",http://twitch.tv/MS_Estrella02,https://dl.airtable.com/.attachments/b8e48d917ed1aec5324e085950d3b65b/d337cba5/aNy5Fb5wSlyYhtyzifbS
experimilk,@experimilk,he/him,,,
F O X,@makotofox_,he/him,"Doing fighting game commentary for 6 years at events like: EVO, Combo Breaker, Arc Revo 2019 Finals, AnimeEvo, CEOtaku and more! ",https://twitter.com/MakotoFOX_,https://dl.airtable.com/.attachments/e229ed8b2ecbf2f785ed63e2f42b8c84/39d7507c/FOX_png.jpg
Fade,@Fadean8,"he/him,any",,,https://dl.airtable.com/.attachments/fa35fcb873041f7e112e8db0cddb84d7/a21cf290/fade.png
Famuwa,@Lohan_han,any,How does one 632146 consistently?,https://twitter.com/@Lohan_han,https://dl.airtable.com/.attachments/6c7084d933cbc6824bf7fcda9a628096/586358d9/l8k5SaJiRnyc52BMDYyW
Fepi,@FepiElMaster,he/him,,,
Firery,@394_Firery,they/them,"#1 Cutest OCE TO. Also a VTuber.
Waiting for the day I can finally play Million Arthur Arcana Blood with someone.",https://twitter.com/394_Firery,https://dl.airtable.com/.attachments/f55632c0d3fb5cd07c7e7fb2a1c94ca3/c0f90e57/gssnsZrGSx2Bwo2LsQlv
Fishel,@FishelFGC,he/him,,,
Frik,@frikinin,,Gaming,https://twitter.com/frikinin,https://dl.airtable.com/.attachments/4ebcf40d7398c24ef8b2414035059634/38f16b97/bqsRgsPBQ6iRKSWqJeM1
Frtv1,@Frtv110,,,,
G9| Pain Pen²,@Chadpenpen,he/him,,,
GaryButternubs,@GButternubs,he/him,,,
Gasbux_,@Gasbux_,he/him,"Card Game is a retainment home for FGC player, also pls play MBTL and Uni ",https://twitter.com/@Gasbux_,https://dl.airtable.com/.attachments/c1b611e162f4dec41b4ed9eb79841578/a47efcea/uMtpCFiGQuyPzGDjGaNg
Geki_CP,@Geki_CP,he/him,,,
Gekiko,@gekiko_bathory,they/them,,,
GhostShroom,@ghost_shroom,he/him,Red Earth shill. Wrote the wiki.,https://twitter.com/@ghost_shroom,https://dl.airtable.com/.attachments/c5d03c5d99589b03115187dddb63af4d/9eda3f3a/iMDxRJIDRzikr3YjFsDQ
Giby,@ManChest,he/him,"What impudence you human being
",https://twitter.com/ManChest,https://dl.airtable.com/.attachments/141a7d5b6f9ce73e761d995c62b7f4b8/4df56955/staff_giby.jpg
Giogio,@MurioMelee,he/him,Play +R!,https://twitter.com/@MurioMelee,https://dl.airtable.com/.attachments/b6c975451ebfa7125ea19cfe151923ee/3e4e0abe/HzRXYnTvTuauqpmvoqz1
GL4DTOB3HERE,@GL4DTOB3HERE,he/him,,,
Gokudeira12,@gokudeira12,he/him,Maya Amano's Top 1 Fan from the cult classic Persona 2 and Professional Combo dropper on BBCF,https://twitter.com/gokudeira12,https://dl.airtable.com/.attachments/e5291907b30ee25f1917778a6cf4167c/871e19e4/MwBjRPomT9Kr0CrzOZpV
Gold,@GoldilocksP4,he/him,,,
Gonomax,@gonomax97,"he/him,they/them",F-Ries main and streamer over at MeltySud. Leader of the Velvet Crew who has brought many weekly lobbies and fun side events for Melty Blood Current Code.,https://twitter.com/@gonomax97,https://dl.airtable.com/.attachments/3eebe5e0abf75777b8933901d7bcaec7/fc1d9c90/aezQnfzhSkiKxfOHZyBI
Griffybones ,@GriffyBones,he/him,,,
GrimFlash,@GrimFlash3,he/him,,,
GTek,@GTekFGC,he/him,Tournament Organizer for Vegas/ West Coast FGC.  Lead TO and Streamer for DragonBall FighterZ and Granblue Fantasy Versus for North America,https://twitter.com/@GTekTV,
GuardianMC,@GuardianMC,he/him,,,
Guerizon,@Guerizon,any,Take the stage,https://twitter.com/@Guerizon,https://dl.airtable.com/.attachments/f45ce2b01ec781575430e2864d3d17a4/15342538/4XeuBzOSNC2PpPSdEAGw
Guizin,@guisugisaki,he/him,,,
Gyaru,@GyaruGarou,she/her,"Kusoge Vtuber, If there's a hyper niche fighting game no one has ever heard of, I probably play it.  Praise the Sega Saturn and Lord of the Rings trilogy. ",https://twitter.com/GarouGyaru,https://dl.airtable.com/.attachments/8271b93057834a1c50699d6bdeb6d68f/b0819913/gyarugarou.png
Hababa Tekken 7,@Vince_SGP,he/him,https://www.youtube.com/watch?v=cilB4Asuio4,https://twitter.com/Vince_SGP,https://dl.airtable.com/.attachments/581d2f3b1d3d4aefeb62c77fc626c12e/25012dcd/ZMg1jCHPQP6XiXzdOJG6
Hagure,@Hagure,they/them,"All roads in the Vortex Gallery leads to the slime. Loves to play lame af. They go to events to TO games, eat good food, & mix drinks. See em in Marvel 2/3, UNI, VSAV or TMNT:TF — first round of drinks is on the loser!",https://linktr.ee/hagure,https://dl.airtable.com/.attachments/4483da8d6f0a4d840572074127976893/87a9340d/TFRsdmyuRnaYJsH31QqX
Hakkou,@vHakkou,he/him,True brazilian. Running the best RPS game of all time.,https://twitter.com/@vHakkou,https://dl.airtable.com/.attachments/183a7901f07e4a8e9f7b5ad993ea7962/80e252be/BBXygeNTTUSu9mjf5Jmr
Halowood,@Halowood_,he/him,Just your local Aussie netplay TO doing what he can for the games he loves,https://twitter.com/@Halowood_,https://dl.airtable.com/.attachments/de46ffe6b484484975ad56dcdb23f077/8143ba74/35jOt8aWT7uVxeX8T8u6
Hans Pichy Stockmann,@pichy_and_pals,"he/him,they/them",,,
HAP,@HAP_WL,he/him,Neutral is a creation by capcom to sell street fighter,https://twitter.com/@HAP_WL,
Harpooneer,@VFHarpoon,he/him,,,
Havok,@HavokWasTaken,he/him,,,
Hazler,@HazHazdoGBVS,he/him,Metera is honest,@HazHazdoGBVS,
HealingPotato,@healingpotato,he/him,"TO, host and commentator for Blazblue EU Open events. Frequent commentator for SaltyEU as well.",https://twitter.com/@healingpotato,https://dl.airtable.com/.attachments/49d598175fab97e237d69e4a190d9b24/1876db40/dtseZ1IYRyWibeFaWwgi
heavymetalmixer,@heavymetalmixer,he/him,Tbh I have no complaints about it.,https://twitter.com/heavymetalmixer,https://dl.airtable.com/.attachments/84af14a92da5f114c647a5fdaf3a9967/a2c54da3/MDfdBmmARlSawwMIuAJQ
hebiniwa,@hebiniwasan,he/him,,,
Heilpaul,@Danudak,he/him,,,
Helixidron,@HelixVic,he/him,,,
HeyVictor,@HeyVictorTweets,he/him,"Smash Ultimate/Nick Brawl Tristate T.O! 
Been running FGC events since 2016 and a current competitor in Nick Brawl!",https://twitter.com/HeyVictorTweets,
Hikaru Reii,@hikarureii18,he/him,"Hello Guys Im Hikaru I main Ragna 
Follow me on my socials 
@HikaruReii18 Twitter
HikaruReii#0609 Discord
",https://twitter.com/@hikarureii18,https://dl.airtable.com/.attachments/1422c21bec9e639502710c2a0303e325/ce2e6b97/rynMVWUOQ1OlsOHkX1Nb
Holmborn,@Holmborn,he/him,,,
Horsey Chobunso,@ChobunsoFGC,he/him,I'm Omega Black's #1 fan and an okay BFTG player.,https://twitter.com/@ChobunsoFGC,https://dl.airtable.com/.attachments/550121d3502e029db99afe7c38fd3870/6da3df35/rac6BaSyQtOVLWKsYJ2w
HotdogBongwater420,@hotdogbong420,any,,,
Hutch,,he/him,OCE BBCF Commentator and Player,,https://dl.airtable.com/.attachments/d4dca41f4c486467f6f2e1eea6363350/41efd885/vStkLixQryUZoDRgAr6g
Hyggend,@hyggend,he/him,,,
Hyper89,@HNation89,he/him,,,
IcySoapy,@IcySoapy,"he/him,they/them",NorCal FGC and PGC E.O,IcySoapy,
IdolismJ,@IdolismJ,he/him,"Successfully worn every hat there is in the industry. Writer, Player, Commentator, Organizer. Now I use my experience to bolster underrepresented games that are too good to be left behind.",https://twitter.com/@IdolismJ,https://dl.airtable.com/.attachments/a9af7c408443e29087e06f124b0e82c8/ba4e9f73/J2h6oFbOSAvzao0NaWgg
IGMGIM,@IGMGIM,he/him,A TODA MADRE O UN DESMADRE,https://afgdl.com,https://dl.airtable.com/.attachments/c9c5251f8e2a2baaad63a8304893175e/1dc342d0/jN6TmWqiSLu3NMSF8uBR
Inazuma,@superinazuma,he/him,Your friendly neighbourhood SS7 lab monster.,https://twitter.com/@superinazuma,https://dl.airtable.com/.attachments/26e0f35dc642005a1abab824154cd7f0/f47761bc/oqxLrAtmScOx0lI4fY25
InfraredAces,@ktrieun,they/them,Just want to help out,https://twitter.com/ktrieun,
InnerOtaku/EckS,@InnerOtakuChan,he/him,"Oh, WORM!? Its the Avid Gamer",https://twitter.com/@InnerOtakuChan,https://dl.airtable.com/.attachments/0f55e887905ac71e0633a2adf7e2557c/b58843cc/OgNwsXxjRQukLxCZZzjQ
Inso,@Inso_,he/him,,,
IronFoxfire,@IronFoxfire,he/him,Mod developer for KLK:IF Restitched,,https://dl.airtable.com/.attachments/a2e132d0409d8132f048ec2ed2fa8625/d8ccf7a6/ironfoxfire.png
Jacklom919,@jacklom919,"he/him,they/them","An active and dedicated member in the Rivals of Aether Workshop Community for over two and a half years now, he hopes to be able to make this tournament as enjoyable as possible! Thank you to everyone that has supported him in his time as a TO!",https://twitter.com/@jacklom919,https://dl.airtable.com/.attachments/2544ca7b608a56b983bd55d33af97a67/2a164b6e/yImUdtijQve7kSaYbCyr
JC Bernardo,@JCBernardo10,he/him,,,
Jean-Carlo ,@garou4life,he/him,,,
JJJ,@JJJ_SC6,he/him,"In the Soul Calibur community for 15 years. Competitive player, commentator, and streamer.  ",,
Jorjão,@Jorgituzin,he/him,,,
JubJub,@JubJub623D,he/him,,,
Kader,@The_RKader,he/him,,,
Kaelis,@KaelisMirage,he/him,Furry FGC TO. (@CatBoxArena) Often forgets to eat. ,,https://dl.airtable.com/.attachments/92b596880e0a0776b675c9ffb58934d9/7ed81ad0/kaelis.png
kalma,@kalmaMG,"he/him,they/them","Commentator from Vancouver, BC, doing DBFZ, GBVS, and more. ",https://twitter.com/@kalmaMG,https://dl.airtable.com/.attachments/af17cbd3ee1b88c12b57eaa4b0ea1afe/bd5f4365/fU5CfENbR2GTwbCySUJs
karma,@k9rmas,any,,,
Kasha,@big_kasha_star,he/him,,,
KBeast,@kbeast707,he/him,"Hailing from the Bay Area in Northern California, this man loves technical execution and smart stuff!  Well known to play Marvel vs. Capcom games, he's also a huge supporter for Tatsunoko vs. Capcom, as that game deserves much love for its unique style!",https://twitter.com/@kbeast707,https://dl.airtable.com/.attachments/84be9724843e91a68e772b75f6690b14/1a3b448f/Fx3w5kwGRnWJ7B3qgMLT
Ke11y Ann,@Ke11yAnn_,she/her,"Prominent member of XboxFighters, worldwide FG Community focused on bringing players together ONLINE casually & competitively no matter the Country. ThrustyZol & I run SamSho Tourney$ on Xbox Series X|S 120Hz, supported by SNK's 'Samurai Shodown Enhanced' which runs true 120fps gameplay ONLINE w/ US, MX, BR, CAN, EU, JP+",https://www.twitch.tv/ke11yann,https://dl.airtable.com/.attachments/136c3a66c24eef1d2fe99ba797cd5b8a/36635af6/Copyofke11yann.png
Kelcroze,@Kelcroze,he/him,"Current leader of the Meme FighterZ, the SEA BBCF Community. Happen to like playing BBCF and Weiss Schwarz a little too much. 四条貴音P",https://twitter.com/kelcroze,
Kinomot0,@_kinomot0,she/her,"Hello! I'm Kinomot0. I love running tournaments in Brasil and I usually work with Skullgirls and Vampire Savior but I used to run Melty Blood tournaments too.
I organize and stream tournaments frequently. You probably saw me on AnimEvo, Vortex, ESC, Heaven or Hell, Battle Coliseaum and Treta!
",https://twitter.com/_Kinomot0,https://dl.airtable.com/.attachments/3a9c503b21d139d94e82b96aa2740016/359f7c8b/s2HFDkZRwmX7cZd1XxTB
Kitaeo,@kitskoonk,it/its,"Fighting gamer of 8+ years, dabbling in everything from Clash of Ninja to Melty Blood to Slap City, recently trying to get more into puzzle games :)",https://twitter.com/@kitskoonk,https://dl.airtable.com/.attachments/16f5e0589900ad70bf54f29b5f6cc719/c23dafe7/KTEo6eIXTjusn7DxjNKJ
Kitoro,@kitoro_,he/him,,,
Kiyobi,@Kiyobi,he/him,"Part time VTuber, full time production head. FGC's biggest Puyo Puyo supporter. Rhythm games and competitive puzzle games are my FGC retirement home. Let's be rivals in IIDX and SDVX!",https://twitter.com/@Kiyobi,https://dl.airtable.com/.attachments/aac4862ab08bf26d68c321f495f8a9ab/5703a171/0wDF1GnTRC0UuAR4exHF
klempfer,@kure_kle,he/him,,,
KONMAI,@konmai573,"he/him,they/them",KONMAI is a WNF SOULCALIBURVI volunteer with a love for the great anime communities of SoCal. Easily confused for the company that destroyed your favorite franchises.  The legend of バフお尻P will never die. ,,https://dl.airtable.com/.attachments/2e0d6fbc5fbc22c54ea7faab2a67c475/af052a49/konmai.png
KrookedUtMN ,@krookedu,he/him,?,https://twitter.com/@krookedu,
Krrapa,@joaohennings,he/him,,,
Krully,,he/him,FF14 player that like to play the most annoying character in every fighting he touches. Mainly plays GBVS and BBCF.,https://twitter.com/-,https://dl.airtable.com/.attachments/a253e78ebb31eb36a1cfef9717a745c0/f051ade0/ctQyLFNTvDD4IHgGzLg5
KujikawaLunasa,@FujiwaraLunasa,he/him,,,
Kumubou,@kumubou,,,,https://dl.airtable.com/.attachments/ef2d73da34a92c4451129478f35055af/6f6811d8/76693228_p0_waifu2x_art_scale_tta_1_waifu2x_art_scale_tta_1.png
KusanagiBoi,@KusanagiBoi,he/him,"Taokaka is a very badly written character, that's the only important thing I have to say :)",https://twitter.com/@KusanagiBoi,https://dl.airtable.com/.attachments/264ebba630ec7e7c773b259bb32afb5e/9e36be81/fatb1K3SEeSM3kv3wu29
kyuukei,@kyuukei,she/her,,,
L10,@Bernarhall115,he/him,,,
LalitoTV,@LaIitoTV,,Skullgirls!!!!!,https://twitter.com/@LaIitoTV,https://dl.airtable.com/.attachments/d7bec49ef98475e4751fde68c4e20ec4/bd5e601e/qjoelTkHQMyTy9QibyBK
Lam,@LamFGC,he/him,Persona enjoyer & commentator focused on the anime fighting game community,https://twitter.com/@LamFGC,https://dl.airtable.com/.attachments/7b830848d2a6c4f996327cd992a6a589/2ec6cb39/5d47QuKSREKP3UXDbd1z
Landkon2,@Landkon22,he/him,"Rivals of Aether workshop and base game competitor, big fan of platfighters.",https://twitter.com/Landkon22,https://dl.airtable.com/.attachments/e621959ae74af93826a11187b9d98434/78290343/landkon2.png
Leapfrog_Potcho,@Leapfrog_Potcho,he/him,,,
Lennox,@Lennox207,he/him,"Commentator for GBVS/MBTL/DBFZ but lets be honest, I'll commentate anything until I like it. Make sure your anti-airs are sick, and play Granblue",https://www.twitch.tv/jacklennox,https://dl.airtable.com/.attachments/596ffd99fb900dab6c341b27e8efd9c4/c41d13b1/ovIlGvmS02k6cPJo2isT
Leon Ultra,@Maximumleon,they/them,Hop on GBVS!,https://twitter.com/MaximumLeon,https://dl.airtable.com/.attachments/37523b6a2a787fe1cdf2feadb70078ae/f63b03d5/LeonUltra.png
Lichgo,@LichgoFGC,he/him,,,
Linus,@WasabiLinus,he/him,,https://twitter.com/WasabiLinus,https://dl.airtable.com/.attachments/ef32a37e05c2cd103de866378c8ee37e/050e76e4/staff_linus.jpg
LobstersArentImmortal,,he/him,"In time, you'll learn.",,https://dl.airtable.com/.attachments/a808cd582d1a03d12988e6f868f69d33/f2bd43ea/ETO5mzjUSUOknHSbFQlJ
Lota,@xi_lota,"she/her,he/him",Owner of the KLK:IF Discord server and patch assistant for: KLK:IF Restitched,https://twitter.com/xi_lota,
Lucianog619,@LucianoG619,he/him,,,https://dl.airtable.com/.attachments/83971b6001d645486011dc43116b80d9/9c2887af/Lucianog619.png
Luijaro,@luijaro,he/him,,,
Lumen,@Lumen_xyz,he/him,Lumen Here! I've been following fighting games since I was first introduced to the genre thanks to a little game called Blazblue Calamity Trigger. Nowadays I play Granblue Fantasy Versus and some Guilty Gear Strive and I'm looking forward to getting more involved in the FGC. :D,https://twitter.com/@Lumen_xyz,https://dl.airtable.com/.attachments/588d04f7b34e3eb81111edde077cad1f/f7c54579/m4BzJabHRVypXA7d28gA
Luong4life,@PsikyoCrusher,he/him,BBCF Caster de Valquiria E-Sports,https://twitter.com/@PsikyoCrusher,https://dl.airtable.com/.attachments/af027e433f2b4c1b0a55ea82b6968360/cd032d99/QhNOJShRK26qdoM8dAfw
Macc,@MaccSensei,he/him,Old School FG fan and too old for this sh*t,https://twitter.com/@MaccSensei,https://dl.airtable.com/.attachments/a65def95c9473ac4e67e6c3a48891ca3/6a910999/BAgxRCxRQWyx6oc8w4mQ
Majeur/Smug,@smug_lol,he/him,...,https://twitter.com/@smug_lol,
Maki,@JulioMorales88,he/him,Bracket runner,https://twitter.com/@JulioMorales88,https://dl.airtable.com/.attachments/1a044809b3f60a57f3c38c0dd114d1bf/01d074cc/Maki.png
Makironi,@makironih,he/him,,,
Manabe,@Manabe_1992,she/her,mornin,https://twitter.com/Manabe_1992,https://dl.airtable.com/.attachments/0cfebbaf56d40495e3842c64c9d327b4/afece769/BBMf0zvaSDObfViGlLVx
Mandaloriano 95,@mandaloriano_95,he/him,TYPE-MOON fanatic and fighting game punching bag.,https://twitter.com/@mandaloriano_95,
Maplejava,@maple_java,he/him,,,
Mark I-No,@Mark_Ino1,he/him,"FGC advocate. Daru & I-No fan, Tournament Organizer and competitor for Arcadian São Luís. Dreamer for the ever greatness of Fighting Games!",https://linktr.ee/marki_no,https://dl.airtable.com/.attachments/2f5529b08645ebf7eda92fa51362f785/f6d1f36b/EFs1M36RTsiD3x29PSlY
Marmotato,@Marmotato,he/him,,,
Mate,@MateFGC,he/him,,,https://dl.airtable.com/.attachments/1b57f7f349dab6d2aae7fb11e4ea3523/0d7dcb99/Mate.jpg
Mathias Wolfbrok,@MathiasWolfbrok,"he/him,they/them","Head TO, Commentator and Streamer at WolfTV, I spend way too much time showcasing all of the fighting games you haven't heard of so you can find your favorite",https://twitter.com/@MathiasWolfbrok,https://dl.airtable.com/.attachments/817c97425ce4bddc084ec997587f1308/f48447a2/FLRCd6lTKrPWWWgPB5gS
McDuckerz,@McDuckyPotatoez,she/her,,,
MCT|BLUEWOLF,@MCT_BLUEWOLF,he/him,,,
Mech,@ircmech,he/him,Southern California Organizer. Skipping the washed phase to go straight to organizing. :duck:,https://twitter.com/@ircmech,https://dl.airtable.com/.attachments/29a878b4a9165e1b9483fe4871467468/df311f0b/vkU0k4rdSf2poL6KfHjR
MegaphoneFranke,@MegaphoneFranke,he/him,,,
melody?,@NightlyMelodies,she/her,ACPR and Kyanta 2 masher,https://twitter.com/@NightlyMelodies,
MelvinIsANiceBoy,@MelvinIsANiceB1,he/him,"Red Earth streamer, TO and player.
Really likes Red Earth.",https://twitter.com/MelvinIsANiceB1,https://dl.airtable.com/.attachments/9fab975f31fe863da24fc6b54a724cfe/af4a8602/melvinisaniceboy.png
Merlin,@MidnightMashers,he/him,"Hi, my name is Merlin
I just applied for shout casts
I just moved to VGon23, with my great friends",https://twitter.com/MidnightMashers,https://dl.airtable.com/.attachments/f32c1f102329a0e7d025c75be169c648/cba2fbb8/zc4b3KXwSBK0Hw4uAwkk
Mibeador,@Mibeador,he/him,,,
Micmic112,@MidnightMashers,he/him,Visit us Midnight Mashers in @MidnightMashers on twitter and midnightmashersph on twitch!,https://twitter.com/@MidnightMashers,
Mihawk,@AlexMihawk,he/him,,,
Mileve,@PlanetScrapstar,"she/her,they/them",,,
missleepy,@missleepy_lily,she/her,,,
miSTERpac2U#2774,@amespac123,he/him,,,
MIX Dark,@MashnMixFG,he/him,"Lead of Mash'n Mix community, an organization focused on organizing GBVS and BBCF tournaments in South America, where I've been organizing tournaments for more than two years.
Casual fighting game player, Zeta is the best char ever.",https://twitter.com/DarkMnM_,https://dl.airtable.com/.attachments/8ac2186920ce5b7f5ca20842b330a3e2/d238d767/qskCxSWRDWKkMkd2WV4T
Mixer,@MixerX1,he/him,"Only played bad ports of 3rd Strike and Alpha 2 until discovering Fightcade existed in 2020. Now I am mediocre at several fighting games instead of just 3S and Alpha 2, and met several cool people across several communities.",https://twitter.com/@MixerX1,https://dl.airtable.com/.attachments/7c94013e5a73c06666a884510c89b4d5/ba0692a4/qaf1LETaeU2dHvuPe8iQ
Monunga,@Monunga_,he/him,,,
Moοn,@msgkmoon,he/him,,,
Muku,@2fohMuku,he/him,,,
Narr,@gunstargum,she/her,,,
Narumi,@zx_narumi,he/him,,,
Nebu,@YoSoyNebu,he/him,,,
negromago,@NEGROMAG0,he/him,,,https://dl.airtable.com/.attachments/0851695aed1d10ce8739a2602803a8bf/93ecd719/negromago.png
NekuSebas,@Raysebix,he/him,"Hello! i'm admin from Melty Blood LAN (latam north), please visit us in https://discord.gg/HtsnBJ4yat",https://twitter.com/@Raysebix,https://dl.airtable.com/.attachments/9072e982eef9f3bdd329ab4374e79c08/7a5df285/mnZL00tzRuqlZdZMZQwS
Nember,@Nemnember,she/her,"I'm Nember, Australian vtuber, fighting game commentator, and overall sleepiest gamer around.
Known for playing tons of fighting games and being good at none of them, you can catch me helping run the GGXRD rev2 and P4AU tournaments in OCE every week.",https://twitter.com/Nemnember,
Neversillo,@NeversilloFGC,he/him,,,
nic hole,@pyrpll,she/her,,,
Ninomae Nimo,@ninomaenimo,he/him,"I'm a fish VTuber. I'm alright at SCVI; but, I'd like to think I'm better on mic.",https://twitter.com/@ninomaenimo,https://dl.airtable.com/.attachments/5944080ae06dff5ddc03f8f1e92a70c1/5a1783e2/7CF2RmuvQA6NuoUgOSBO
NMAHA Yamagata e-Sports Union,@nmaha_yesu,,,,https://dl.airtable.com/.attachments/7238e1976fff5559a2922ac144a57f4c/1e3a5078/YeSU.jpg
NuclearTaco,@NuclearTaco2042,he/him,"NuclearTaco here, just a guy that loves games, anime, and having a good time. I mostly play Fighting Games and RPGs and am now a retired US Marine! I do everything I can to support the FGC and hope everyone has a good time when I do!",https://twitter.com/@NuclearTaco2042,https://dl.airtable.com/.attachments/0b1b99680d96a9b4f9305cbeecde0015/2bc4b3ca/8hx2G3XxSRW3B93Toz7P
Numakie,@numakie,he/him,Hisui Lover. Former US MB god turned filthy casual. I do streaming things.,https://twitter.com/numakie,https://dl.airtable.com/.attachments/ffba5c542bfad5eaab58a42b55fd372b/62459267/staff_numakie.jpg
Nutria,@nutriafgc,he/him,"Fighting game community streamer & artist, occasional miniature painter and tcg player.",https://www.twitch.tv/nutriafgc,https://dl.airtable.com/.attachments/d014d3b0dafedfdea7cbbae053578df8/0ad6f85c/Iu33Wly7RhGR3GlCoscY
Olipop,@Olipoops,he/him,,,
omega_black,@omega_blackFGC,he/him,"Imma keep it short and simple but I like playing fighting, shooting, and Trading Card Games, watching movies, anime, and grilling & smoking food!",https://twitter.com/omega_blackFGC,https://dl.airtable.com/.attachments/4a3591ab3c9ec2cfcb7cae175bf269d8/f6b9250e/omega_black.jpg
Onemi,@OnemiESESEBEME,"he/him,any",I just wanna play qoh99se,https://twitter.com/@OnemiESESEBEME,https://dl.airtable.com/.attachments/068230ee7ebb694ed33d4e1f6fff3faa/48f1fe18/Onemi.png
ooluchi,@ooluchiR1,he/him,,,
Ordanen,@ordanen,he/him,"Helping out with commentary, nothing notable",https://twitter.com/@ordanen,https://dl.airtable.com/.attachments/2ab8831601bae427b8f647a8eea3c705/6c2942d5/hLdDAsKRTmSAKuTDsLjW
Oso Ragna,@RagnaPho3niX,he/him,"The key of victory is something that you feel proud of.. even if no one agrees, so fight for it!",https://twitter.com/@RagnaPho3niX,
Osugure,@Osugure,he/him,"Always doing too much, never stops doing too much, confused on how I even do so much....",https://twitter.com/Osugure,https://dl.airtable.com/.attachments/406fc62336b77d1bb958753810cd9f9f/4df1b0cd/IzaSalt.png
Ozz,@OZzuFito,he/him,,,
p3P3,@p3P3_campeon,he/him,Kliff is the worst character in the game.,https://twitter.com/@p3P3_campeon,
Paulo,@paulo_7482,he/him,,,
peon2,,,,,
Phenotype,@phen_type,"they/them,any","Puyo buster, bring In-n-Out to Washington",https://twitter.com/@phen_type,
Pikashockz,@SkyAstrelle,he/him,,,
PMXHOMIE,@PMXHOMIE,he/him,Don't cry and thank you baby,https://twitter.com/af_gdl,https://dl.airtable.com/.attachments/420872890fa0bb5358b23063c4af76c8/9e123239/wGWFPTjGRiiWbWeM6jLw
PolarBair,@PolarBair_ON,he/him,"Enigmatic fighting game player and TO from Ontario. Games run include Samsho 3, Samsho VSp, Dan-Ku-Ga, Cyberbots, Karnov's Revenge, and Double Dragon (NeoGeo)",https://cohost.org/polarbair,https://dl.airtable.com/.attachments/00bec6e30b3484c2e7a4630fb9529f74/7aadd6a9/PolarBair.png
PON,@PONVFesSARAH1,he/him,,,
